Date and time: 2022-11-18 18:40:10.604462
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/morley/photos
paper_area = 3211mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/morley/photos/template/template2.jpg
leaves parameters[0, 50, 0, 255, 157, 255]
roots parameters[91, 255, 0, 255, 157, 255]
seeds parameters[0, 26, 83, 255, 157, 255]
blur parameters[7, 1, 83]

,1,hg
0,179.91982343137695,688.55626662267
1,20095.464168280705,583.4013679647195
2,1222.2720162878875,496.34161821955735
3,4877.600108103238,471.8101322131742
4,1748.9662627809557,752.6436702379546
5,1515.0578802756631,1191.143070601711
6,805.3637703501272,362.3234775248972
7,1944.3808837439753,418.790356096045
8,1762.4251159857663,361.85364911481923
9,3590.7661817035264,574.8728554351864
10,591.8121076931461,309.55787517512374
11,2410.1797216341606,344.7274663102524
12,1756.3803432277823,299.9999571667554
13,1577.424440340525,390.4249811955569
14,492.10133137131237,295.1350982972348
15,2313.5534435385794,233.58095323213715
16,1687.4465114184045,272.4491486099422
17,1372.1634160623394,429.28433176343543
18,424.57080559643094,339.1450602182627
19,160.17296518174857,39.39686566689214
20,1611.6751497680284,362.3197485847182
21,1495.9326156479437,29.195874414409356
22,516.8040236999665,182.3803072757276
23,66.55556056033511,6.670138726672097
24,54.80834196657808,417.2532642501842
25,19.008152785910543,11.552576754899299
26,235.48183339951257,5.928171145681699
27,38.92617449664429,10.26610008714004
28,141.75037160488264,19.40298230431751
29,37.034367821269306,20.662351007949365
30,436.7659005442271,133.26431152428333
31,18.50367100581055,16.488374218735718
32,47.71857123552993,7.671538816041526
33,31.106706905094363,6.423944220247626
34,9.162571337366375,78.50801466633034
35,24.179091031935496,
36,29.133822800774738,5.6670563963122165
37,60.231521102653026,5.644752858119307
38,7.150055668449613,100.83501973846158
39,19.782892662492678,
40,22.359353182289084,6.538127536779083
41,37.890185126796084,23.405806125410813
42,27.792716386767253,
43,,
44,27.332102157560467,523.4195167299514
45,37.88117652358002,20.25646997687288
46,6.745052515201768,
47,,
48,45.286248367190666,10.83744942305999
49,50.6824016936174,6.757167535884496
50,13.640106198273108,
51,,
52,179.80271158956802,
53,,
54,27.312712649584622,
55,,
56,24.647538399171207,
57,,
58,,
59,,
60,36.4398000090086,
61,,
62,,
63,,
64,51.93459754065132,
65,,
66,,
67,,
68,47.16904643934957,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
