Date and time: 2022-11-22 10:43:36.396964
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 3221mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template2.jpg
leaves parameters[0, 47, 0, 255, 100, 255]
roots parameters[145, 255, 0, 255, 100, 255]
seeds parameters[0, 29, 77, 255, 160, 255]
blur parameters[9, 1, 112]

,1,hg
0,455.068805183256,428.14977152133906
1,14291.12202153056,497.87037401972077
2,522.1153851290676,358.4563208892983
3,1528.9581550380612,390.9261913427543
4,435.9567133011497,317.7408819605986
5,1245.9889194180441,602.5244570228319
6,460.4718252375164,269.1317552423651
7,1710.5355614611954,375.5694391234389
8,224.24803325287428,484.048318633454
9,2953.191297689293,463.53545308707345
10,472.284310359592,274.5567365134327
11,1581.8026215035356,321.5266283645479
12,381.50528171250716,274.766105876119
13,1377.3793973244447,453.0863595461334
14,418.3765617401455,314.7657135935401
15,2055.6461420656724,212.39871328962207
16,355.2015395731436,238.62875574613983
17,1248.9257240664833,357.4410827332351
18,372.9106405344189,285.1457631721681
19,1829.1067969911264,10.73804757708769
20,404.92162230832747,313.2188570679631
21,1217.1253547137514,319.0835539431583
22,453.3332175834086,157.6251544027843
23,1677.2487725778117,17.165891776218572
24,5.902677380423045,386.12291130782427
25,39.08832935453358,6.480018487696897
26,202.25464564417578,120.8207693251335
27,37.88117652358002,
28,12.871826367274343,485.90789129835224
29,58.646006936624474,6.831805486635596
30,413.16368270169744,75.29864063827276
31,,
32,7.675015086069999,
33,,24.39821280320496
34,5.84044894210592,92.20977098624128
35,,
36,51.44382820936289,
37,,21.879621825296013
38,,
39,,
40,11.017649113891888,
41,,6.982207174587648
42,,
43,,
44,14.352610684113573,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
