Date and time: 2022-11-23 16:54:22.683531
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/morley/photos
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/morley/photos/template/template.JPG
leaves parameters[0, 80, 0, 255, 124, 255]
roots parameters[127, 255, 0, 255, 124, 255]
seeds parameters[0, 29, 103, 255, 163, 255]
blur parameters[7, 5, 91]

,4day,7day
0,65.58231346229766,195.55141148628198
1,55.81916093184772,132.66704841623596
2,57.71812080536913,1139.2808248056
3,326.5135513146526,189.89674754775427
4,60.95087561345377,162.41086485457092
5,55.23136700812433,113.98891158447623
6,48.54243846693543,259.0268456375839
7,53.808724832214764,165.0540941164023
8,162.17930068454123,142.77771378698898
9,48.8834592370109,1288.3764846768422
10,58.92033848847389,39.39688255942962
11,60.65483155802917,17.628428641298438
12,35.01677852348993,137.73489932885906
13,207.85393698108751,135.7986577181208
14,90.18287825461123,142.0677447606159
15,44.602109300095876,116.36714396338645
16,58.819067709201036,1897.6079861984122
17,32.89979171488081,374.9185043144775
18,175.126171273863,114.71519503257596
19,52.78747994067372,93.6529242569511
20,27.991739803820337,135.17275664926672
21,48.74077392883231,131.0976962127544
22,31.2019524100061,99.6747334501339
23,214.87419990520962,1114.0080926892674
24,51.59039533146792,127.69048559020924
25,30.82214765100671,190.2452441266708
26,44.50241388487118,222.22727789785006
27,24.308724832214764,139.61310698776154
28,137.8434298758209,118.41661961493635
29,51.29336292621677,149.32129861806044
30,26.20367668514736,1031.0522440043285
31,61.6050507860134,132.6006711409396
32,26.546205472379967,246.59458380077723
33,222.47263038222064,82.34153616703952
34,35.402001075957976,9.69858581016299
35,42.168301497160556,81.25896631638183
36,36.20139186281478,52.36217753424698
37,42.67908505684153,459.72860405114454
38,161.61794381854838,118.27420901246404
39,56.963146529363726,47.39896726890174
40,23.42281879194631,25.554981930820855
41,28.39381085784601,107.14392244593587
42,15.699726572209793,93.30870482705664
43,119.67055200723392,55.946131681022585
44,48.629203343195606,339.74566888587475
45,14.80487198608004,85.13727882855399
46,18.84021055694361,29.81335769824455
47,17.05487564153178,37.962172056131784
48,273.66147217150615,77.63982102908277
49,156.19602833318532,57.274104185778164
50,8.612975391498882,65.60711542271926
51,34.57896642396523,433.72687832609483
52,26.261350177654954,80.73334424619414
53,78.46154626965188,38.377079859313525
54,35.66141578501011,18.150633855331844
55,26.375838926174495,75.4958985831469
56,22.026678701047754,63.8766441635384
57,13.452647278150634,39.106482721252256
58,148.32237155246872,430.09743667125423
59,24.640130670658806,60.1744966442953
60,20.17897091722595,
61,22.94196498905486,19.77320064799815
62,14.166236448115642,64.23130950522865
63,82.51483636205006,70.17835835532968
64,23.903212476946337,50.05179133213899
65,,73.62778227194195
66,19.991675336674525,
67,17.061894108873975,
68,182.89887253836298,
69,,19.56229938721914
70,15.302013422818792,51.58222730159743
71,35.32626541398078,14.799840782188717
72,12.660876431109356,
73,,
74,,
75,65.77181208053692,
76,20.417275977210608,
77,,
78,,27.780706719639156
79,,
80,9.789292960824097,
81,11.735953711072083,
82,20.40268456375839,
83,,
84,,22.389382360481836
85,,6.626265505832299
86,9.650335824402827,
87,,
88,,
89,,
90,35.06453278265359,
91,25.02741464003107,
92,10.402684563758388,
93,,
94,,
95,,
96,15.23004081990759,
97,,
98,,
99,,
100,47.51677852348993,
101,21.82353410169685,
102,,
103,,
104,,
105,11.248322147651006,
106,,
107,35.09108341323107,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,10.686628807434177,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
