Date and time: 2022-11-23 16:54:22.683531
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/morley/photos
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/morley/photos/template/template.JPG
leaves parameters[0, 80, 0, 255, 124, 255]
roots parameters[127, 255, 0, 255, 124, 255]
seeds parameters[0, 29, 103, 255, 163, 255]
blur parameters[7, 5, 91]

,4day,7day
0,237.64695283996215,780.8062682158118
1,243.60100798898114,483.0579322466008
2,353.5065988018557,30894.022336769765
3,7415.3749240429415,686.3114274131796
4,219.37573092487466,423.12863742263994
5,191.01842259357684,1061.2855276789332
6,195.80832974484696,1687.9419845952884
7,371.9111751722895,671.65756789489
8,3238.334789779797,497.3819208384838
9,539.7595245315921,35681.03116213684
10,340.6062789964416,837.0343678212693
11,218.95760507787662,1321.0715435177697
12,137.17400117111842,390.69411287779826
13,3321.947828351515,1008.7833881356695
14,191.47319626221366,453.7638817513054
15,206.83752984099814,487.64843910949736
16,249.84917786093047,21547.145110902846
17,155.6056033512004,432.80933291293184
18,2908.9391475447787,1362.4740126338038
19,182.8969004994456,505.28354578622583
20,109.55362371064365,1275.8794648889689
21,216.3283286255501,477.2466084000273
22,126.7060042340435,540.1730789039967
23,2929.887554616743,38481.77983442675
24,194.99982822673124,370.82113418314486
25,71.9336966803297,598.3920946654604
26,146.03641756612012,1216.5668213143551
27,194.97319940543218,519.2919237872168
28,3177.114876009144,461.33352859365846
29,381.7486684610063,720.5388146374125
30,149.74100265753793,20975.88206810372
31,171.6403310631299,425.34120084680865
32,143.0926534840773,879.0054986669655
33,5215.611591770596,380.3252105761001
34,161.6336016945137,724.6430340975631
35,75.72631863429575,326.48167188359133
36,158.67828921697412,260.9657949629172
37,382.24404306112336,10908.10207747579
38,2551.552099308429,311.6706454664204
39,137.11722518646283,211.32947487250104
40,129.61578307283455,150.74996621773792
41,210.2936055504686,670.1409846403315
42,60.591865231295884,475.93453628068613
43,2716.2499204259384,268.45927006077466
44,168.63511211463555,14289.374882849112
45,45.421377415431735,608.206837529841
46,81.7404210732502,100.60310320808946
47,99.03157515427232,186.90149092383226
48,3298.290575537487,418.2874645286248
49,166.30620421353905,285.14579297853453
50,42.00711679654069,253.2211980454265
51,210.1868821520347,9217.221961886911
52,101.38282059366695,286.6807801450385
53,974.6426979947338,217.90510235943088
54,226.5990420974819,83.79802711589568
55,16.017296518174856,350.74095761452185
56,70.65088976325318,290.99965320328755
57,60.4297103734066,226.33107359909354
58,945.9289331288522,21273.21180880975
59,163.8885760114484,141.20985541191837
60,27.512274221881896,48.048050086867406
61,374.65734126583146,240.97112742669248
62,54.718255934417364,525.7961353092203
63,2581.168812754999,224.74561832236643
64,98.9453156837287,214.39776473011952
65,15.062384577271294,2933.8159169009687
66,73.4062938682743,30.35899283816044
67,57.04247556416377,15.739533878289551
68,1264.6697821117511,
69,8.591082479600443,93.68046484392595
70,16.855096617269492,122.02270709873105
71,39.24510424229045,55.186531082612284
72,86.43754785820458,4771.411199625118
73,455.6278538152146,11.08959055898383
74,,
75,23.26922210711229,
76,56.99029476371177,
77,12.666096121796315,49.376525995378444
78,712.4264301629099,16.784982424289247
79,,1871.2276632302408
80,68.6005134903833,42.37646952839962
81,46.54110384431824,
82,27.0077924417819,
83,1676.2337451893864,
84,,37.76973417043711
85,50.98869420296383,33.28870841058921
86,70.73820890742638,493.27491408934713
87,13.512904824107022,
88,740.7790155965162,
89,,
90,29.863519661276516,
91,16.221956561955412,67.35303545951463
92,15.089410386919507,
93,329.3956422350184,278.8075601374571
94,,
95,12.621053105715959,
96,16.454807613083958,
97,16.58483852078735,
98,845.7016406724732,
99,,
100,25.53939011756227,2471.248828491097
101,21.55812648365127,
102,20.557632539074813,
103,1460.790213837206,
104,,
105,12.008468087023106,
106,19.17140320958367,
107,48.47529390567992,1620.6907997500784
108,356.8452790879366,
109,,
110,26.764560154947972,
111,21.373786068174503,
112,12.386829422098103,
113,607.5038050869529,
114,,
115,25.61145894329084,
116,18.22059475080877,
117,13.026440250439169,
118,254.63149975404383,
119,,
120,22.39538759515337,
121,13.903148177800302,
122,17.17940633304806,
123,271.6069330709801,
124,,
125,17.90910319354984,
126,18.996764921237258,
127,,
128,357.0258688040742,
129,,
130,28.755461465699742,
131,23.915743376327804,
132,,
133,,
134,,
135,,
136,112.32152578813265,
137,,
138,,
139,,
140,,
141,21.063318000003107,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
