Date and time: 2022-11-23 16:54:22.683531
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/morley/photos
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/morley/photos/template/template.JPG
leaves parameters[0, 80, 0, 255, 124, 255]
roots parameters[127, 255, 0, 255, 124, 255]
seeds parameters[0, 29, 103, 255, 163, 255]
blur parameters[7, 5, 91]

,4day,7day
0,64.11888782358581,120.16539499246487
1,70.99191422095505,53.3064859458011
2,28.834483410530293,864.6186638865461
3,210.91307120870542,71.30445393532644
4,55.929143660255804,75.00453549536478
5,34.70193446506119,84.93818438714234
6,60.68116963333517,94.94682498709345
7,64.02684563758389,95.44183940737636
8,195.0317421724379,77.06716315278324
9,53.6283660326838,972.248904426715
10,66.68090298962782,175.4847922319006
11,60.4665480863545,149.9981960399545
12,53.12559923298178,56.14736541482221
13,333.920655161428,58.89016205598298
14,35.48793219833149,77.87611255819768
15,32.422208663819404,51.62971625934713
16,135.53074515250884,1182.2759980908381
17,29.89290304155362,138.33673767143276
18,221.54096441898213,93.43322707872639
19,33.00497503080194,59.38018160284248
20,13.799936081815275,116.3703226992737
21,49.43537016411939,116.90776993412128
22,39.765100671140935,53.0119182023494
23,,706.1637776714126
24,63.26371614303577,103.58286009292719
25,22.711409395973153,60.12944952488138
26,28.585793666023786,91.53691275167785
27,24.69651154214913,77.8149689915895
28,192.9468707818091,52.6974175123381
29,72.46047315867591,62.86258398792575
30,34.17986577181208,1351.7802482032855
31,30.173613323442382,82.015737097894
32,46.16107382550336,52.39746788141291
33,395.08560396512536,38.31604636973765
34,51.53435329513736,85.47509713882022
35,11.782252050708427,51.09959173007077
36,18.210079007258926,67.53083984412821
37,42.67272009474931,
38,156.725668482085,49.70722692345102
39,43.69204709071525,68.72079121117615
40,50.463697376449055,93.79048730668222
41,22.311325524619438,60.232925384919064
42,32.66482431898934,80.45771995252622
43,498.6648614086747,70.34471808651486
44,30.07436326287144,954.9043792740365
45,6.926174496644295,30.36241610738255
46,21.695843210676284,54.57050298908807
47,59.95525727069351,33.051109963861634
48,290.7250698480824,171.8979865771812
49,54.044731052527254,77.6814222768022
50,12.016107382550334,196.81375314496543
51,25.443526214965225,1075.811917518306
52,34.772996446900905,36.59597315436242
53,38.25680062733275,39.29421796983414
54,31.044644634847966,19.821029082774047
55,,38.085011185682326
56,15.826754925721302,261.61239130814323
57,20.0,128.97439271639135
58,,762.2926198320274
59,40.87518819640606,64.52245740836345
60,18.926174496644293,
61,14.702561357364448,30.068813184946052
62,18.001491424310217,41.99560491774069
63,226.61646470209502,48.120001115204644
64,22.471799171640832,65.28061112544944
65,2.416107382550335,1061.3966697248338
66,18.805385768483454,10.495778306992856
67,16.53853976001627,
68,36.740634381510915,
69,8.64884586624975,21.266303659617574
70,,34.11239973168915
71,14.885109581826057,35.019484162985364
72,32.267749911691986,668.4330654918256
73,24.840591670051488,
74,,
75,,
76,17.873152969703938,
77,,36.891312295197494
78,20.48052576971038,
79,,
80,20.955085183273106,31.530201342281877
81,14.979012136423975,
82,,
83,92.60131854420403,
84,,18.931951501217025
85,26.732059886422306,19.946444342301213
86,12.161524431068209,37.321668944742996
87,,
88,37.68511013321853,
89,,
90,7.175106772422208,
91,6.268461922827819,
92,,
93,,10.261343218934439
94,,
95,6.500479386385425,
96,,
97,20.183038438071993,
98,113.64024341724433,
99,,
100,11.401006711409396,326.9011984048917
101,6.491988472013928,
102,16.615115261161364,
103,,
104,,
105,3.9117929050814952,
106,5.293367845943492,
107,7.999089978386986,59.67956468530332
108,19.266777694750562,
109,,
110,17.299328859060402,
111,6.559723789949111,
112,14.550335570469798,
113,13.54355991688003,
114,,
115,6.526472781506339,
116,4.8580579901915595,
117,6.2261228704181715,
118,30.58998667755534,
119,,
120,13.676360924683072,
121,2.625253283919343,
122,5.324384787472035,
123,,
124,,
125,11.81208053691275,
126,5.925571697989374,
127,,
128,16.2265155264046,
129,,
130,9.108724832214765,
131,6.46300039629489,
132,,
133,,
134,,
135,,
136,26.004952561719616,
137,,
138,,
139,,
140,,
141,3.46359082515571,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
