Date and time: 2022-11-23 16:54:22.683531
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/morley/photos
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/morley/photos/template/template.JPG
leaves parameters[0, 80, 0, 255, 124, 255]
roots parameters[127, 255, 0, 255, 124, 255]
seeds parameters[0, 29, 103, 255, 163, 255]
blur parameters[7, 5, 91]

,4day,7day
0,85.49185043144774,280.3859216490847
1,94.65588562794007,239.87918675610496
2,67.28046129123736,2161.546659716365
3,316.36960681305817,356.5222696766321
4,139.82285915063952,187.51133873841192
5,57.836557441768655,254.81455316142709
6,60.68116963333517,356.05059370160046
7,149.39597315436242,222.69762528387812
8,195.0317421724379,282.57959822687184
9,107.2567320653676,2916.746713280145
10,66.68090298962782,526.4543766957019
11,80.62206411513934,449.9945881198635
12,88.54266538830298,112.29473082964442
13,333.920655161428,196.30054018660994
14,106.46379659499446,155.75222511639535
15,64.84441732763881,206.5188650373885
16,180.7076602033451,1773.4139971362572
17,49.821505069256034,276.6734753428655
18,221.54096441898213,560.5993624723584
19,49.50746254620291,118.76036320568495
20,24.14988814317673,387.9010756642457
21,98.87074032823878,311.75405315765676
22,119.29530201342281,212.0476728093976
23,,1765.4094441785319
24,94.89557421455365,310.7485802787816
25,30.28187919463087,240.51779809952552
26,38.11439155469838,549.2214765100671
27,49.39302308429826,285.3215529691615
28,192.9468707818091,87.82902918723016
29,108.69070973801387,209.54194662641922
30,79.75302013422818,2703.560496406571
31,50.289355539070634,246.047211293682
32,69.24161073825503,314.3848072884774
33,790.1712079302507,172.42220866381942
34,68.71247106018315,113.9667961850936
35,23.564504101416855,85.16598621678463
36,30.350131678764882,157.57195963629914
37,99.56968022108173,
38,313.45133696417,211.25571442466685
39,65.53807063607289,137.4415824223523
40,84.10616229408176,156.3174788444704
41,52.059759557445346,220.85405974470322
42,54.44137386498224,120.68657992878933
43,498.6648614086747,175.86179521628716
44,60.14872652574288,954.9043792740365
45,9.234899328859061,91.08724832214764
46,21.695843210676284,109.14100597817614
47,59.95525727069351,77.11925658234382
48,290.7250698480824,286.496644295302
49,81.06709657879088,129.46903712800366
50,12.016107382550334,262.4183375266206
51,50.88705242993045,1613.717876277459
52,57.954994078168184,118.93691275167784
53,76.5136012546655,117.88265390950241
54,62.08928926969593,26.428038777032068
55,,126.95003728560776
56,26.37792487620217,261.61239130814323
57,33.333333333333336,171.96585695518846
58,,3049.1704793281096
59,61.312782294609086,86.02994321115126
60,25.23489932885906,
61,22.05384203604667,50.114688641576755
62,31.502609992542876,230.97582704757374
63,453.23292940419003,96.24000223040929
64,22.471799171640832,130.56122225089888
65,4.026845637583892,2122.7933394496677
66,25.073847691311276,20.99155661398571
67,33.07707952003254,
68,73.48126876302183,
69,17.2976917324995,49.62137520577434
70,,68.2247994633783
71,22.32766437273909,35.019484162985364
72,64.53549982338397,668.4330654918256
73,37.260887505077235,
74,,
75,,
76,23.830870626271913,
77,,73.78262459039499
78,30.720788654565574,
79,,
80,34.925141972121835,52.5503355704698
81,19.972016181898635,
82,,
83,92.60131854420403,
84,,31.553252502028375
85,35.64274651522973,33.24407390383535
86,24.323048862136417,55.982503417114486
87,,
88,56.527665199827794,
89,,
90,7.175106772422208,
91,8.357949230437091,
92,,
93,,17.102238698224067
94,,
95,10.834132310642378,
96,,
97,20.183038438071993,
98,170.46036512586653,
99,,
100,11.401006711409396,326.9011984048917
101,11.360979826024371,
102,16.615115261161364,
103,,
104,,
105,5.867689357622243,
106,12.351191640534815,
107,13.331816630644976,89.51934702795498
108,28.90016654212584,
109,,
110,17.299328859060402,
111,8.746298386598815,
112,29.100671140939596,
113,40.630679750640084,
114,,
115,11.421327367636092,
116,8.096763316985932,
117,9.33918430562726,
118,91.76996003266602,
119,,
120,18.23514789957743,
121,2.625253283919343,
122,5.324384787472035,
123,,
124,,
125,17.71812080536913,
126,10.369750471481405,
127,,
128,32.4530310528092,
129,,
130,18.21744966442953,
131,6.46300039629489,
132,,
133,,
134,,
135,,
136,43.341587602866035,
137,,
138,,
139,,
140,,
141,6.92718165031142,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
