Date and time: 2022-11-18 10:36:05.365580
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 3221mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template2.jpg
leaves parameters[0, 65, 0, 255, 121, 255]
roots parameters[80, 255, 0, 255, 121, 255]
seeds parameters[0, 26, 68, 255, 160, 255]
blur parameters[9, 1, 106]

,1,hg
0,101.03848345075266,62.44900463088726
1,407.41371670893113,
2,117.8422226634304,46.42562789462727
3,100.33265246571344,90.1907235123295
4,39.046266867707956,58.40009838274523
5,146.2013422818792,
6,101.8379484461781,39.176933734037405
7,228.10675823318243,98.32604288575038
8,67.2461690890227,65.632748547248
9,344.79487308876213,
10,65.6312300029533,35.72301082984025
11,111.5300505240932,78.67714284354102
12,32.967386142750875,125.12872540868698
13,203.19097010372178,17.690841650787135
14,53.29448259323512,46.418077477405134
15,80.32214765100672,86.74050334152703
16,67.5730581411998,59.18813725511585
17,177.30704697986576,4.491584343498364
18,67.35646136393325,66.58981986059439
19,140.9012464046021,
20,49.18100987436831,136.39261163864822
21,167.78523489932886,4.5474927771482765
22,51.16046798266927,65.80837680048336
23,,
24,,45.40925387118122
25,,
26,83.79418790157423,58.93773315413838
27,,
28,,
29,,
30,34.947800287385654,50.09047457396651
31,,
32,,133.6493489852435
33,,
34,,17.934757708320877
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
