Date and time: 2022-11-18 10:36:05.365580
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 3221mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template2.jpg
leaves parameters[0, 65, 0, 255, 121, 255]
roots parameters[80, 255, 0, 255, 121, 255]
seeds parameters[0, 26, 68, 255, 160, 255]
blur parameters[9, 1, 106]

,1,hg
0,457.222233332619,437.5462476278892
1,17089.068059997295,503.83849368688266
2,547.9460837393265,398.1098840189794
3,1546.5789829286969,428.3418990764194
4,438.9966351369475,318.918574460789
5,1262.528714922751,607.0484728771818
6,466.64971080331014,275.6011648210177
7,1764.776361425161,377.5799023329004
8,233.0627126351401,486.3217252824649
9,3002.423314265123,464.2695865984895
10,514.3377952101945,276.01831721522205
11,1624.8727534795728,323.3494075677995
12,390.82021870022635,275.44849056255265
13,1472.2670149993241,468.9727296679441
14,420.68532250406247,315.0841423224727
15,2124.796180352236,217.37094707842547
16,360.57543919795626,255.55908413032776
17,1257.2316562317012,363.75546629349094
18,397.86843156827496,301.37025736300245
19,1866.5015089410385,10.724613489320097
20,409.033035971497,307.8473480945616
21,1256.9073465159227,320.12879611383966
22,452.12826511759823,159.21564683798505
23,1683.3295797486599,17.14441598231142
24,5.899674703451602,390.5168161876134
25,39.08832935453358,11.540613625857672
26,203.26238390214164,118.1633817583324
27,163.10076122697174,
28,14.289073480196905,13.528624741908724
29,58.646006936624474,6.809521029788322
30,415.0246338226145,75.2537953044839
31,39.466690689608576,
32,7.67111082541519,500.90832469348277
33,,24.31862902093434
34,5.824730038690144,91.83063687417851
35,,
36,51.417658864787256,
37,,21.80825335771387
38,,
39,,
40,6.753440453431167,
41,,6.9594321270859005
42,,
43,,
44,11.012044463808277,
45,,
46,,
47,,
48,15.37289586939252,
49,,
50,,
51,,
52,14.345309547560829,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
