Date and time: 2022-11-18 10:36:05.365580
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 3221mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template2.jpg
leaves parameters[0, 65, 0, 255, 121, 255]
roots parameters[80, 255, 0, 255, 121, 255]
seeds parameters[0, 26, 68, 255, 160, 255]
blur parameters[9, 1, 106]

,1,hg
0,92.07949351525659,82.10564759106997
1,,
2,86.33466775346092,62.12043993373967
3,201.35570469798657,104.52861901396543
4,73.13909389507093,46.947829139562096
5,142.01342281879195,
6,109.84639159002543,65.54923751466227
7,108.37967401725791,58.004408034056645
8,2.1485560299577835,84.12429350165564
9,159.30720935267374,
10,54.31351437972271,86.63373476148608
11,200.8311822405782,67.64727084428456
12,85.89113208219578,40.42850317763248
13,161.4300464636035,146.5012029703558
14,98.57340332983169,40.96496841055385
15,232.2366162010301,38.97191591177082
16,109.63461746949741,37.655816061358856
17,134.30105465004794,
18,55.47567702799038,48.031762192625216
19,184.06613193648715,
20,53.408742236390594,67.26323031342335
21,375.83892617449663,
22,75.9194353115023,168.40114998160098
23,236.75098950266735,0.0663449111500648
24,,82.56489046931918
25,,
26,,
27,,
28,,
29,,
30,87.5792199070839,284.6305948287152
31,,
32,,78.0273236405939
33,,
34,,31.910479314270564
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
