Date and time: 2022-11-23 16:39:11.240378
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template.JPG
leaves parameters[0, 56, 0, 255, 115, 255]
roots parameters[74, 255, 0, 255, 115, 255]
seeds parameters[0, 20, 97, 255, 115, 255]
blur parameters[7, 5, 142]

,4day,7day
0,55.852348993288594,181.03459234941747
1,54.58813775074715,135.93142882617875
2,50.12030428182867,163.5406048324348
3,498.01728531374465,163.03170562369823
4,59.504724301486334,161.65174142145088
5,55.288590604026844,105.85011185682326
6,59.27032812426715,254.12992991803287
7,46.506519032423924,164.28214276670505
8,258.3282643703459,259.6677441347303
9,50.33081266582163,182.20881251351454
10,60.19258826962358,189.44817300521999
11,56.43754872689408,215.2704681161287
12,59.9389662329932,160.61361457334613
13,327.0022268715044,200.7612981951945
14,123.07104904263242,125.11627042011565
15,45.100671140939596,103.62954389647201
16,50.72171016479483,251.72103846526863
17,31.703056825666525,200.93959731543623
18,245.14973679113717,201.6237227095512
19,56.76944731496646,92.87370347773032
20,27.879691772309222,121.44674520692605
21,44.145068526399555,127.53056053041452
22,27.89181561926465,88.73945950863356
23,321.09009184701955,162.51734745954138
24,50.16549637077602,131.4488748519542
25,29.640742202921437,175.60070061790458
26,41.27543011793054,93.95973154362416
27,22.247608690522295,125.0968376059043
28,180.2521626717925,122.24705085513592
29,52.02663788596692,84.39723944523817
30,23.506040268456374,132.76067071466838
31,54.022711113878046,128.05369127516778
32,33.14982330779019,119.32015096425934
33,279.46730216314666,53.723489932885904
34,36.346476180619305,103.65226220502574
35,16.827975980219,83.65116252651602
36,33.33516850226385,50.431353481691495
37,49.01504486686065,65.62133383396848
38,319.4029189506149,80.88590604026845
39,51.894918128301555,168.70847914959168
40,19.028187919463086,28.590604026845636
41,27.882855526172722,98.1713633435133
42,15.390989392902592,97.97289299670884
43,196.50487102454284,30.816592411666047
44,59.162529877802875,52.148249345798206
45,14.574740695546065,78.61476510067114
46,7.6534616605084524,140.71269634125306
47,17.13205154142098,52.46007868548947
48,478.57713689579583,70.05425226664492
49,155.3521455279087,52.643208295340656
50,10.766513599434829,47.58124374005944
51,25.0899884580813,69.70125539649808
52,22.828073812573788,79.39597315436242
53,93.16709331688124,47.55103481658306
54,46.430123780375936,34.32538764174959
55,,70.5345612908402
56,18.606878723429467,64.6958021995747
57,14.470160967686196,66.34196014383467
58,109.50555513331462,43.286474993239835
59,21.141093825070314,55.493767976989446
60,19.47341249354672,43.26062345386654
61,17.66117686596802,24.242777939889116
62,15.188117803423056,31.747639107464575
63,88.68202536727208,71.26058820972938
64,24.341248850278742,34.22296122129663
65,,27.134479992590943
66,15.33597578400696,108.70418172431594
67,9.453967466454872,32.761204166806124
68,274.54052297607603,29.703908409001183
69,,23.99463333762338
70,12.281879194630871,48.85686254082927
71,15.343212294934887,43.17661401811178
72,16.681423691216224,17.00486391710811
73,,11.12176414189837
74,,24.45780345594416
75,,23.394990996889835
76,10.830795449440092,17.323628406306504
77,,
78,,15.046421363513176
79,,
80,8.000958772770854,30.872483221476507
81,12.281866651133566,47.87389943277904
82,34.61231551254565,22.408211606790367
83,,
84,,10.382415099068563
85,,16.248818763861216
86,5.038119212279743,
87,,
88,,25.162358772025556
89,,8.754660700969426
90,12.195589645254076,
91,,
92,5.014258987732971,9.355917456181812
93,,
94,,
95,,
96,11.172087396078398,
97,,
98,,
99,,14.525854018421317
100,33.624161073825505,
101,,
102,,
103,,
104,,
105,3.5346756152125276,
106,,18.286565937082635
107,11.839222609925072,
108,,11.59731543624161
109,,
110,7.785234899328859,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
