Date and time: 2022-11-22 15:50:31.056819
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/morley/photos
paper_area = 3221mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/morley/photos/template/template2.jpg
leaves parameters[0, 47, 0, 255, 163, 255]
roots parameters[59, 255, 0, 255, 163, 255]
seeds parameters[0, 26, 91, 255, 130, 255]
blur parameters[7, 1, 97]

,1,hg
0,46.639029511625964,494.0781516035407
1,17829.62028737444,493.13273636771197
2,601.9190739559292,392.8471917651169
3,1581.072924643034,420.86688891241903
4,456.38564393504186,321.8708690453181
5,1316.1028782487274,625.0654719489079
6,474.7645289562732,270.4576083259852
7,1775.1272465204268,376.8022878105264
8,462.55943250834946,482.9160901020694
9,3294.7885230395023,454.50140865010263
10,527.5810597389276,257.7410671554167
11,1602.6395207423088,320.5366374172129
12,453.50675451350776,265.1047728882177
13,1445.0069816674923,550.3539180293055
14,420.4924145760231,309.27887141228126
15,2100.8423044007027,217.0862618651565
16,234.3257752298848,261.96358640689647
17,1250.2770145488942,358.1143586355521
18,383.2717820977114,313.9803484344151
19,1959.2090446376287,10.319733305097193
20,392.7820949332234,309.2906238446319
21,1249.394171433719,316.0427172553739
22,454.7036657409666,158.54411522557754
23,1663.033196702851,16.687602854127316
24,408.7308360636902,382.9741791022033
25,37.034367821269306,11.478690136303218
26,197.26179720288468,6.022450797988986
27,160.17296518174857,
28,6.06404367514629,13.300961506844592
29,27.14292149002297,6.495555398252361
30,421.47203744706934,106.93443809910731
31,56.83527769019413,
32,7.46775748883756,489.74868734145645
33,37.791090491419304,23.66672329581652
34,7.202368666303892,66.68563111995458
35,96.2389081572902,
36,50.2350890816096,
37,50.6824016936174,20.482279795191243
38,6.464503624616116,85.93268992537946
39,38.43070131976037,
40,6.464740163781798,
41,,6.832493334277152
42,13.717238505369686,
43,19.782892662492678,
44,10.3236770479658,
45,,
46,,
47,,
48,14.7134729744185,
49,,
50,,
51,,
52,13.363355506340897,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
