Date and time: 2022-11-23 16:39:11.240378
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template.JPG
leaves parameters[0, 56, 0, 255, 115, 255]
roots parameters[74, 255, 0, 255, 115, 255]
seeds parameters[0, 20, 97, 255, 115, 255]
blur parameters[7, 5, 142]

,4day,7day
0,224.22413404801583,768.235178242473
1,243.71091076711642,445.12114870064426
2,365.1428102929474,659.583967682867
3,20791.211187879795,601.396333498491
4,217.43859761190504,368.2163317657118
5,191.99135174091256,1034.232692221071
6,183.1858426340934,1573.6385263816048
7,388.4910754252462,666.368933855276
8,8142.964621659868,446.8995434304536
9,549.166538708616,639.009265621245
10,329.9671185982613,444.3133192198549
11,209.94572367142547,488.1769474774744
12,152.55428572316723,345.29976127201473
13,8549.749188379255,1231.3069650464938
14,192.6009372073487,451.83568159576305
15,206.11684158371241,426.3324586173477
16,243.9631794063371,424.4007588501491
17,158.5489794713021,350.60582856628076
18,8049.450928161158,724.5905001176917
19,186.66607528754403,492.7705959191027
20,89.46443853880454,967.7360732014708
21,202.77547273357618,474.55994905301935
22,131.01994895802247,472.5707215923909
23,7967.3666860900685,823.3894370225455
24,196.64025387520053,335.61551281473805
25,60.88014053421016,565.1360195864618
26,142.0854597210627,526.9492365208774
27,198.28080081816373,484.64671906958876
28,8463.508782152667,444.2010462840366
29,385.64567270781333,240.71627647894078
30,139.55227242016124,423.0277037844351
31,164.70231349119362,354.34439890095035
32,142.02962113299512,361.1310204911667
33,14338.246815949386,326.2105310571596
34,159.9930456707794,688.9152539046345
35,50.394126390703114,290.5427832306718
36,146.83005066640547,253.074612736938
37,404.04041859395204,227.01881217274163
38,6726.232165154415,215.22453943516055
39,134.47088281412897,434.74230800639856
40,128.23746678077563,163.44308814918244
41,200.87375529945103,644.556600903663
42,61.819066758679,473.90875957054857
43,7294.068092899358,274.03354723627314
44,165.5367633322446,272.0972661763362
45,43.61965677221746,577.3073284987162
46,65.85181747656736,310.43456901617736
47,82.75199411867105,318.24692581415246
48,9000.173478731373,352.75190763178887
49,170.79464480492322,281.8190896465373
50,30.530156299265798,213.57817385060707
51,185.47566566701957,204.12047846144992
52,99.6884589799065,263.20436016395655
53,2066.1331058020473,186.36667131028497
54,225.30661480850284,142.3719652267916
55,7.15283095356065,314.7802007236594
56,60.62209453272328,286.9612410770825
57,60.21854172883716,239.07854573905988
58,2032.3642720386247,251.49087822858243
59,164.0624503585035,123.2467005990721
60,27.440205396153324,166.00014891603536
61,358.2117650533948,120.69726588892391
62,55.27146436387148,341.5528788662576
63,6713.763672687921,222.4822549076046
64,98.4254350071532,223.7763131204178
65,10.82834106571776,194.16054825400155
66,66.17200459557823,309.93198504571865
67,57.2890959166418,185.8969821284745
68,3420.0035794555893,44.63762893563353
69,3.0840220369073603,130.93239490326206
70,14.080446826719516,119.49327003338898
71,27.75925295424477,158.8096446291902
72,85.64263932408237,72.44449765947869
73,1055.146174977108,46.56547002387279
74,,89.28091809137679
75,13.611999459483807,74.10477005540291
76,40.848114273810026,87.01120396344412
77,9.874754426539342,40.63197822520292
78,1075.9269957545991,56.36607024988972
79,,93.16706718971592
80,67.8167650105851,23.224179091031935
81,36.316981407807816,164.05143848086428
82,23.79447211031533,222.854826359173
83,3765.484724881378,30.193631460819073
84,,41.11475663462092
85,45.493446241160306,22.63685495062416
86,52.17109511883052,28.707412835466258
87,9.70015169601114,14.458808161794513
88,1473.3601931241153,135.04063646393269
89,,51.68235665060132
90,18.11630106751948,
91,6.132068461056517,67.43179365033676
92,13.492911009151497,31.579065738931085
93,458.2170981436776,42.81819412618845
94,,23.881807125805143
