Date and time: 2022-11-22 15:50:31.056819
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/morley/photos
paper_area = 3221mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/morley/photos/template/template2.jpg
leaves parameters[0, 47, 0, 255, 163, 255]
roots parameters[59, 255, 0, 255, 163, 255]
seeds parameters[0, 26, 91, 255, 130, 255]
blur parameters[7, 1, 97]

,1,hg
0,,95.09073902434373
1,,
2,67.329714385927,69.15473604275945
3,159.8264855131773,106.24248755821365
4,88.21995260893803,39.953465558688194
5,102.88985392814844,
6,116.20627357188886,55.033296857584645
7,95.31900433268201,64.43904882553923
8,101.79121869497362,86.16918658615423
9,156.1818061000731,
10,57.836875926441344,67.80403291941177
11,209.70573051109966,54.63013536343603
12,70.75778110913359,38.44329992053914
13,130.42161418000344,95.41102293654829
14,97.11373099231807,50.50092374692952
15,237.28924537567525,36.369144544630316
16,,41.69665254330381
17,137.73894931728768,
18,60.764256270229254,33.276859275950976
19,171.6547095579727,
20,89.73418168342579,43.95570040839077
21,399.6381674934345,
22,57.46052452916313,
23,220.3387663790348,
24,52.49824737874756,78.3718560739427
25,,
26,,
27,,
28,,
29,,
30,53.935270040824165,
31,,
32,,70.63121726169095
33,,
34,,
35,,
36,,
37,,
38,,31.966775772034406
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
