Date and time: 2022-11-23 16:39:11.240378
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template.JPG
leaves parameters[0, 56, 0, 255, 115, 255]
roots parameters[74, 255, 0, 255, 115, 255]
seeds parameters[0, 20, 97, 255, 115, 255]
blur parameters[7, 5, 142]

,4day,7day
0,59.72818791946308,118.80512793046138
1,64.57222199191294,47.79288249361563
2,29.788657012650482,119.89977256157907
3,353.30103439421265,66.07923793028795
4,53.80202247391098,65.2238495295382
5,34.625119846596355,80.46770134228187
6,100.27904561986713,109.99350169132977
7,57.72512785877957,91.97646081364684
8,273.7638878332865,73.46521547979128
9,50.49257377172648,111.17799917735012
10,53.91807451978709,113.91596148234608
11,62.0803085793309,84.16777585093874
12,48.29389843235745,85.71079926784626
13,766.9095527058972,106.4320242761221
14,33.545875934981034,77.23232411220526
15,27.95637583892617,46.9766631475027
16,116.83268235408885,194.6942722231047
17,31.497903541275942,115.96282911719152
18,326.7427601306179,70.91618541285872
19,33.05368734605078,65.69452918446207
20,12.927665920954512,81.16466096408364
21,48.24711059057624,82.2610165387971
22,36.65462190257513,54.04546330979528
23,1244.2665781415722,95.57434576639093
24,59.71086552057275,92.08345491683689
25,23.065771812080538,57.60415353001837
26,27.537971032727697,113.48117887365042
27,30.937543819335136,108.29846128586593
28,332.8392531025747,88.41108115289312
29,66.15140434222951,68.49407889752939
30,30.85128929706817,159.13131529530463
31,24.986529627139507,76.2064033447024
32,60.03182288091418,55.39708795223634
33,727.3964747366132,81.18120805369126
34,48.435824298913026,125.93738955562031
35,19.367828534314786,75.28949549026034
36,24.84296646324166,57.88865439029007
37,43.00517618307917,318.51418183198655
38,245.89463444011074,69.71812080536913
39,38.47379814728496,57.762514366215704
40,44.11633109619687,80.3489932885906
41,23.443319099566004,63.02770778748012
42,34.80485650308768,79.06178848860412
43,712.3103370879279,65.2297182084844
44,29.802698088421906,153.83276771899145
45,6.351779156641762,41.722595078299776
46,41.81075101382386,49.83925421003187
47,54.780779440982705,56.09545115585384
48,380.7211089043232,137.87900452999656
49,56.28456941355745,92.34997677810676
50,21.773729626078616,68.37380080351052
51,60.93865852406399,131.96937125413817
52,28.813417849880388,35.09576035357669
53,99.17516562371061,63.83345327414975
54,28.651980323259853,80.60634112473964
55,,38.489651478362966
56,24.1933389415744,246.27730826233872
57,17.662405857431203,168.35648256712193
58,,76.44921726836638
59,39.73990421548027,89.58182756840475
60,19.208053691275165,138.14653339325682
61,27.186730101458537,59.76205003050641
62,16.817850558339522,20.371401760623105
63,320.43052303090053,43.416860102290514
64,22.477226246745193,102.94780501609848
65,3.0018303843807197,73.01294745361498
66,16.866358681591596,157.7948226270374
67,19.221326119643056,43.52570080346131
68,56.78367846505175,20.810738255033556
69,,39.75282337703495
70,,29.370460857571274
71,11.00492399364331,68.89357399552063
72,30.861570198308883,170.3393206055616
73,32.618675997157546,7.7026329375322655
74,,49.56426677913199
75,,25.57046979865772
76,17.52519541658183,25.533399520804608
77,,30.60255502053061
78,80.86713424295309,31.46990417079337
79,,85.896363888982
80,19.74542929877343,10.36241610738255
81,14.364112366386511,69.03544279411314
82,,30.0575263662512
83,105.33114124082122,
84,,19.13575434444822
85,27.599380485286527,
86,17.11281754415615,64.38593773742645
87,,19.278523489932887
88,57.28654972000793,45.3206531421459
89,,22.84228187919463
90,5.6375838926174495,
91,5.223856326096508,
92,,31.21474278562477
93,7.135335374378213,12.553381949540752
94,,12.108308261976395
95,6.550335570469799,35.81489523413788
96,,36.442953020134226
97,15.92134370891281,
98,158.72480730759696,
99,,30.40673173259089
100,,6.6130026344309325
101,5.435653494147767,
102,13.58864185675635,
103,,7.7749096541042855
104,,
105,16.47345942647956,
106,4.799207360233178,12.545434770789248
107,11.630295152102864,
108,47.72879796642905,32.18600191754554
109,,
110,3.957245836440467,11.442953020134228
111,6.336032189071893,
112,5.924254137358584,
113,105.50103017830644,
114,,42.08651912085243
115,15.21108465035722,
116,4.407035155106872,6.679949209788216
117,4.268089495510803,
118,66.76635243168185,
119,,
120,6.831751909280259,
121,4.980076364212004,7.893615843003271
122,3.5285526209972757,28.523489932885905
123,,
124,,
125,17.864551555826722,
126,3.9332565278844296,
127,,
128,83.24557936774582,
129,,2.6871450696954056
130,16.711409395973153,
131,6.3924523338603185,
132,,
133,,
134,,
135,8.606211955673482,
136,37.39181370258553,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
