Date and time: 2022-11-23 16:39:11.240378
Program settings and initial information: 
path_to_file_folder_fixed = C:/Users/dasha/plants/for_git/Morley/photos
paper_area = 6241mm2; paper_area_thresold = 5000pixels 
paper threshold position = photo width/x_pos_divider = img.shape[0]/10
contour_area_threshold = 1000 pixels 
template_filename = C:/Users/dasha/plants/for_git/Morley/photos/template/template.JPG
leaves parameters[0, 56, 0, 255, 115, 255]
roots parameters[74, 255, 0, 255, 115, 255]
seeds parameters[0, 20, 97, 255, 115, 255]
blur parameters[7, 5, 142]

,4day,7day
0,79.63758389261746,316.81367448123035
1,64.57222199191294,238.9644124680781
2,69.50686636285111,299.7494314039477
3,529.951551591319,374.4490149382983
4,134.50505618477746,163.05962382384547
5,57.7085330776606,241.40310402684565
6,100.27904561986713,412.4756313424866
7,134.691965003819,245.27056216972494
8,273.7638878332865,257.1282541792695
9,100.98514754345295,389.12299712072536
10,89.86345753297847,265.8039101254742
11,82.77374477244119,252.50332755281616
12,80.48983072059576,171.4215985356925
13,766.9095527058972,390.25075567911443
14,100.63762780494308,154.46464822441052
15,55.91275167785234,203.56554030584502
16,194.72113725681476,324.4904537051745
17,52.49650590212657,289.9070727929788
18,326.7427601306179,248.20664894500553
19,49.58053101907617,175.1854111585655
20,22.623415361670393,243.49398289225087
21,96.49422118115248,246.78304961639128
22,109.9638657077254,198.1666988025827
23,1244.2665781415722,286.7230372991728
24,89.56629828085913,276.25036475051064
25,23.065771812080538,230.4166141200735
26,36.71729471030359,378.2705962455014
27,61.87508763867027,252.69640966702048
28,332.8392531025747,147.35180192148854
29,99.22710651334425,102.74111834629409
30,71.98634169315908,318.26263059060926
31,41.64421604523251,279.42347893057536
32,100.05303813485696,110.79417590447268
33,1454.7929494732264,216.48322147651007
34,64.58109906521737,209.89564925936716
35,25.82377137908638,125.48249248376725
36,41.40494410540276,154.3697450407735
37,100.34541109385141,318.51418183198655
38,491.78926888022147,139.43624161073825
39,38.47379814728496,173.2875430986471
40,88.23266219239375,120.5234899328859
41,54.70107789898734,210.09235929160036
42,58.0080941718128,118.59268273290618
43,712.3103370879279,173.94591522262502
44,59.60539617684381,153.83276771899145
45,10.586298594402939,125.16778523489933
46,41.81075101382386,124.59813552507967
47,73.04103925464361,224.38180462341535
48,380.7211089043232,275.7580090599931
49,84.42685412033617,153.91662796351127
50,21.773729626078616,136.74760160702104
51,91.40798778609599,197.95405688120726
52,57.626835699760775,114.06122114912425
53,148.76274843556592,127.6669065482995
54,57.303960646519705,134.34390187456606
55,,128.29883826120988
56,48.3866778831488,246.27730826233872
57,29.437343095718667,224.4753100894959
58,,152.89843453673276
59,59.60985632322041,111.97728446050593
60,25.610738255033556,276.29306678651363
61,54.37346020291707,59.76205003050641
62,29.431238477094166,162.97121408498484
63,640.8610460618011,115.77829360610802
64,22.477226246745193,171.5796750268308
65,4.50274557657108,219.03884236084494
66,22.488478242122127,394.48705656759347
67,32.03554353273842,87.05140160692262
68,141.95919616262938,27.747651006711408
69,,59.629235065552415
70,,58.74092171514255
71,16.507385990464964,114.82262332586771
72,61.723140396617765,255.5089809083424
73,48.928013995736315,7.7026329375322655
74,,99.12853355826398
75,,34.09395973154362
76,23.366927222109112,42.55566586800767
77,,61.20511004106122
78,80.86713424295309,41.959872227724496
79,,85.896363888982
80,32.909048831289056,10.36241610738255
81,19.15214982184868,172.58860698528287
82,,50.09587727708533
83,210.66228248164245,
84,,31.892923907413703
85,36.79917398038203,
86,34.2256350883123,64.38593773742645
87,,19.278523489932887
88,85.92982458001191,67.98097971321884
89,,53.2986577181208
90,5.6375838926174495,
91,6.965141768128677,
92,,31.21474278562477
93,7.135335374378213,20.922303249234588
94,,20.18051376996066
95,11.463087248322147,35.81489523413788
96,,36.442953020134226
97,15.92134370891281,
98,238.08721096139547,
99,,30.40673173259089
100,,13.226005268861865
101,9.512393614758594,
102,13.58864185675635,
103,,7.7749096541042855
104,,
105,16.47345942647956,
106,7.998678933721964,16.727246361052334
107,19.38382525350477,
108,71.59319694964357,42.91466922339406
109,,
110,6.925180213770817,22.885906040268456
111,8.448042918762525,
112,17.77276241207575,
113,105.50103017830644,
114,,42.08651912085243
115,15.21108465035722,
116,5.876046873475829,13.359898419576432
117,6.402134243266203,
118,200.29905729504557,
119,,
120,10.247627863920389,
121,4.980076364212004,11.840423764504907
122,3.5285526209972757,47.53914988814318
123,,
124,,
125,17.864551555826722,
126,5.8998847918266435,
127,,
128,83.24557936774582,
129,,5.374290139390811
130,22.28187919463087,
131,6.3924523338603185,
132,,
133,,
134,,
135,11.474949274231308,
136,49.855751603447374,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
